doc_type,filename,n_pages,n_chars,chars_per_page,is_scanned,title_by_font,title_by_keyword,n_articles,n_circled,n_numbered,n_tables,structure,compliance_no,compliance_date,error
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_jungriptujahyeong_poteupollio_2_20250901.pdf,8,16303,2037,False,『하나은행 디폴트옵션 중립투자형 포트폴리오 2』 상품설명서,『하나은행 디폴트옵션 중립투자형 포트폴리오 2』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_jungriptujahyeong_poteupollio_3_20250901.pdf,8,16185,2023,False,『하나은행 디폴트옵션 중립투자형 포트폴리오 3』 상품설명서,『하나은행 디폴트옵션 중립투자형 포트폴리오 3』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_toejigyeongeum_iyulbojeunghyeongboheom _20250901.pdf,2,4733,2366,False,퇴직연금 이율보증형보험 상품설명서(핵심/요약),퇴직연금 이율보증형보험 상품설명서(핵심/요약),6,0,6,6,article,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA AI_choegowiheom_20260521.pdf,4,7695,1923,False,하나은행ISA 모델포트폴리오설명서(AI 최고위험),하나은행 ISA 모델포트폴리오 설명서 (AI 최고위험),2,24,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA AI_gowiheom_20260521.pdf,4,7703,1925,False,하나은행ISA 모델포트폴리오설명서(AI 고위험),하나은행 ISA 모델포트폴리오 설명서 (AI 고위험),2,24,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA AI_jeowiheom_20260615.pdf,4,7729,1932,False,하나은행ISA 모델포트폴리오설명서(AI 저위험),하나은행 ISA 모델포트폴리오 설명서 (AI 저위험),2,24,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA AI_jungwiheom_20260521.pdf,4,7700,1925,False,하나은행ISA 모델포트폴리오설명서(AI 중위험),하나은행 ISA 모델포트폴리오 설명서 (AI 중위험),2,24,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA jeowiheom_pokeoseu_20260615.pdf,4,7497,1874,False,하나은행ISA 모델포트폴리오설명서(저위험_포커스),하나은행 ISA 모델포트폴리오 설명서 (저위험_포커스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_choegowiheom_baelleonseu_20260615.pdf,4,7430,1857,False,하나은행ISA 모델포트폴리오설명서(최고위험_밸런스),하나은행 ISA 모델포트폴리오 설명서 (최고위험_밸런스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_choejeowiheom_20260413.pdf,4,7407,1851,False,하나은행ISA 모델포트폴리오설명서(최저위험),하나은행 ISA 모델포트폴리오 설명서 (최저위험),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_gowiheom_baelleonseu_20260615.pdf,4,7458,1864,False,하나은행ISA 모델포트폴리오설명서(고위험_밸런스),하나은행 ISA 모델포트폴리오 설명서 (고위험_밸런스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_gowiheom_pokeoseu_20260615.pdf,4,7456,1864,False,하나은행ISA 모델포트폴리오설명서(고위험_포커스),하나은행 ISA 모델포트폴리오 설명서 (고위험_포커스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_jeowiheom_baelleonseu_20260615.pdf,4,7463,1865,False,하나은행ISA 모델포트폴리오설명서(저위험_밸런스),하나은행 ISA 모델포트폴리오 설명서 (저위험_밸런스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_jungwiheom_baelleonseu_20260615.pdf,4,7448,1862,False,하나은행ISA 모델포트폴리오설명서(중위험_밸런스),하나은행 ISA 모델포트폴리오 설명서 (중위험_밸런스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_hana_irimhyeongISA_jungwiheom_pokeoseu_20260615.pdf,4,7447,1861,False,하나은행ISA 모델포트폴리오설명서(중위험_포커스),하나은행 ISA 모델포트폴리오 설명서 (중위험_포커스),2,25,0,10,clause,,,
desc,hana_desc_trust_isa_irimhyeong_gaeinjonghapjasangwanrigyejwa(ISA)_gyeyakgwonyumunseo_20260529.pdf,4,16902,4225,False,일임형 개인종합자산관리계좌(ISA) 계약권유문서,투자설명서 검토 및 확인 라. 투 자자의 요청으로 포트폴리오의 내용이 변경되는 경우 제2호의 기준을 적,35,44,67,5,article,,,
terms,hana_terms_deposit_ipchulgeumi_jayuroun_yegeumyakgwan_20240329.pdf,4,4415,1103,False,입출금이 자유로운 예금약관,입출금이 자유로운 예금약관,22,39,14,0,article,2024-약관-017,2024-02-27,
terms,hana_terms_deposit_yegeumgeorae_gibonyakgwan_20250226.pdf,9,10402,1155,False,제2조 실명거래,예금거래 기본약관,36,64,15,2,article,2024-약관-153,2024-12-24,
terms,hana_terms_digital_banking_jeonjageumyunggeorae_gibonyakgwan_20201210.pdf,12,15083,1256,False,전자금융거래 기본약관,전자금융거래 기본약관,79,78,89,0,article,2020-약관-209,,
terms,hana_terms_digital_banking_maideiteoseobiseu_iyongyakgwan_20260625.pdf,8,7692,961,False,마이데이터서비스 이용약관,마이데이터서비스 이용약관,31,37,43,0,article,2026-약관-049,2026-05-19,
terms,hana_terms_loan_chugayakjeongseo('modu_da_hana_otoron'_geumrigammyeonyong)_20260529.pdf,3,3135,1045,False,추가약정서,추가약정서,0,0,5,4,numbered,2026-약관-32,2026-04-06,
terms,hana_terms_loan_chugayakjeongseo(gagyedaechul_geumrigammyeonyong)_20260630.pdf,3,4588,1529,False,추가약정서(가계대출 금리감면용),추가약정서(가계대출 금리감면용),0,0,10,6,numbered,2026-약관-043,2026-04-23,
terms,hana_terms_loan_chugayakjeongseo(haengbogyeongeumdaechul_hanawonkyuyeongeumdaechul_geumrigammyeonyong)_20210325.pdf,1,919,919,False,추가약정서,추가약정서,0,0,0,2,flat,2021-약관-135,2021-03-23,
terms,hana_terms_loan_chugayakjeongseo(hanawonkyu_saisdoldaechul_geumrigammyeonyong)_20210325.pdf,1,592,592,False,추가약정서,추가약정서,0,0,0,1,flat,2021-약관-134,2021-03-23,
terms,hana_terms_loan_chugayakjeongseo(jeonjabangsik_oesangmaechulchaegwondambodaechul-maechulchaegwonboheom_geumrigammyeonyong)_20210917.pdf,1,1151,1151,False,추가약정서,추가약정서,5,0,6,3,article,2021-약관-286,2021-03-23,
terms,hana_terms_loan_chugayakjeongseo(mobail_jeonyong_gagyedaechul_geumrigammyeonyong)_20210325.pdf,1,948,948,False,추가약정서,추가약정서,0,0,0,1,flat,2021-약관-136,2021-03-23,
terms,hana_terms_loan_daechulgeoraechugayakjeongseo(gagyeyong)_20230228.pdf,8,21667,2708,False,대출거래( )추가약정서,대출거래( )추가약정서,85,91,47,17,article,,,
terms,hana_terms_loan_daechulgeoraechugayakjeongseo(guibyongdo_bogeumjarirone_daehan_jeonibuimu_yuye_chugayakjeongyong)_20260417.pdf,1,1316,1316,False,대 출 거 래 추 가 약 정 서,래 부속약관 및 이 약정서의 사본을 교부하여야 합니다.,6,2,1,1,article,,,
terms,hana_terms_loan_daechulgeoraechugayakjeongseo(sudogwon_gyujejiyeok_sojae_apateue_daehan_jeonibuimu_chugayakjeongyong)_20260417.pdf,1,1403,1403,False,대 출 거 래 추 가 약 정 서,래 부속약관 및 이 약정서의 사본을 교부하여야 합니다.,6,2,1,1,article,,,
terms,hana_terms_loan_daechulgeoraechugayakjeongseo_20210617.pdf,1,121,121,False,이 계약서는 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.,,0,0,0,1,flat,2021-약관-333,2021-03-23,
terms,hana_terms_loan_daechulgeoraeyakjeongseo(gagyeyong)_20210325.pdf,10,26131,2613,False,대출거래약정서(가계용),대출거래약정서(가계용),97,105,49,37,article,2021-약관-162,2021-03-23,
